Product Name,Product Number,Product Price
Asus ROG G703GS 17.3" pelikannettava,ASG703G5006,3 429 
Asus ROG Strix GL503GE 15.6" pelikannettava (musta),ASGL503G148,1 399 
Asus ROG Strix SCAR II 15.6" pelikannettava (musta),ASGL504G032,2 599 
Asus ROG Strix GL703GE 17.3" pelikannettava (SCAR Ed.),ASGL703G148,1 509 
Asus ROG Zephyrus M GM501 15.6" pelikannettava (musta),ASGM501G006,2 489 
Asus Laptop L203 11.6" kannettava (harmaa),ASL203MD040TS,299 
Asus Laptop L203 11.6" kannettava (valkoinen),ASL203MD048TS,299Outletista alkaen 264€
Asus VivoBook S15 S530UN 15.6" kannettava (harmaa),ASS530UBQ003T,1 099 
Asus VivoBook S15 S530UN 15.6" kannettava (sin./kelt.),ASS530UBQ144T,699 
Asus ZenBook 13 UX331UA 13.3" kannettava (sininen),ASUX331EG013T,999 
Asus ZenBook 13 UX331UA 13.3" kannettava (sininen),ASUX331EG131T,849Outletista alkaen 604€
Asus ZenBook S UX391UA 13.3" kannettava (tummansininen),ASUX391ET012T,1 449Outletista alkaen 1 358€
Asus ZenBook S UX391UA 13.3" kannettava (tummansininen),ASUX391ET038T,1 199 
Asus ZenBook Flip 14" 2-in-1 (harmaa),ASUX461E1026T,1 199 
Asus ZenBook Flip 14" 2-in-1 (harmaa),ASUX461E1046T,1 399Outletista alkaen 1 451€
Asus ZenBook Flip 14" 2-in-1 (kulta),ASUX461E1069T,1 549 
Asus ZenBook Pro 15 kannettava (sininen),ASUX550BN023T,1 749 
Asus ZenBook Pro 15 kannettava (syvänsininen),ASUX580BO024T,1 969Outletista alkaen 1 723€
Dell Alienware 15 R4 15.6" pelikannettava (hopea/musta),DEAW15R41010,2 499 
Dell Alienware 15 R4 15.6" pelikannettava (hopea/musta),DEAW15R41014,1 999Outletista alkaen 1 709€
Dell Alienware 15 R4 15.6" pelikannettava (hopea/musta),DEAW15R41015,3 399 
Dell Alienware 17 R5 17.3" pelikannettava (hopea/musta),DEAW17R52007,3 699 
Dell Alienware 17 R5 17.3" pelikannettava (hopea/musta),DEAW17R52011,2 199 
Dell Alienware 17 R5 17.3" pelikannettava (hopea/musta),DEAW17R52013,2 599 
Dell Inspiron 15-5570 15.6" kannettava (hopea),DEINS5570401,497Outletista alkaen 408€
Dell Inspiron 15-5570 15.6" kannettava (hopea),DEINS5570413,799Outletista alkaen 569€
Dell Inspiron 15-5570 15.6" kannettava (hopea),DEINS5570418,949 
Dell Inspiron G5 15.6" pelikannettava (musta),DEINS5587622,1 549 
Dell Inspiron G5 15.6" pelikannettava (musta),DEINS5587627,1 849 
Dell Inspiron G5 15.6" pelikannettava (musta),DEINS5587628,1 049Outletista alkaen 986€
Dell Inspiron 13-7370 13.3" kannettava (platina),DEINS7370001,999 
Dell Inspiron 13-7370 13.3" kannettava (platina),DEINS7370002,1 099 
Dell Inspiron 13-7373 13.3" 2-in-1 (harmaa),DEINS7373001,1 099Outletista alkaen 1 032€
Dell XPS 15 DVGV0 15.6" kannettava Win 10 Pro (harmaa),DEXPS15DVGV0,1 249Outletista alkaen 1 072€
Dell XPS 13-9370 13.3" kannettava (platina),DEXPS9370606,1 899 
Dell XPS 13-9370 13.3" kannettava (platina),DEXPS9370609,1 699 
Dell XPS 15-9570 15.6" kannettava 512 GB (hopea),DEXPS9570608,1 999 
Dell XPS 15-9570 15.6" kannettava 256 GB (hopea),DEXPS9570610,1 799 
Dell XPS 15-9575 15.6" 2-in-1 (platinahopea),DEXPS9575411,2 299Outletista alkaen 2 148€
Dell XPS 15-9575 15.6" 2-in-1 (platinahopea),DEXPS9575413,3 099 
HP Chromebook x360 11-ae001no 11.6" 2-in-1 (harmaa),HP11AE001NO,409 
HP Spectre x2 2-in-1 12-a000no (hopea),HP12A000NO,Outletista alkaen 729€
HP Spectre x360 2-in-1 13-ae001no (harmaa/kupari),HP13AE001NO,1 599Outletista alkaen 1 497€
HP Spectre x360 2-in-1 13-ae006no (hopea),HP13AE006NO,1 699Outletista alkaen 1 590€
HP Spectre x360 2-in-1 13-ae001no (hopea),HP13AE080NO,1 297Outletista alkaen 1 216€
HP Envy x360 13-ag0801no 13.3" 2-in-1 (tummanharmaa),HP13AG0801NO,649 
HP Envy x360 13-ag0808no 13.3" 2-in-1 (tummanharmaa),HP13AG0808NO,999Outletista alkaen 939€
HP Envy 13-ah0001no 13.3" kannettava (hopea),HP13AH0001NO,1 099 
HP Envy 13-ah0002no 13.3" kannettava (hopea),HP13AH0002NO,949 
HP Envy 13-ah0003no 13.3" kannettava (hopea),HP13AH0003NO,899 
HP Spectre 13-v103no 13.3" kannettava (musta/kupari),HP13V103NO,1 399Outletista alkaen 1 269€
HP Stream 14-ax081no 14" kannettava (sininen),HP14AX081NO,249Outletista alkaen 184€
HP Pavilion x360 14-ba002no 14" 2-in-1 (kulta),HP14BA002NO,547Outletista alkaen 393€
HP Pavilion x360 14-ba082no 14" 2-in-1 (hopea),HP14BA082NO,698Outletista alkaen 568€
HP Pavilion x360 14-ba102no 14" 2-in-1 (hopea),HP14BA102NO,647 
HP Pavilion x360 14-ba181no 14" 2-in-1 (kulta),HP14BA181NO,647 
HP Pavilion 14-bf083no 14" kannettava (hopea),HP14BF083NO,397Outletista alkaen 328€
HP 14-bp092no 14" kannettava (valkoinen),HP14BP092NO,359Outletista alkaen 315€
HP Chromebook 14-ca080no 14" kannettava (harmaa),HP14CA080NO,329 
HP Pavilion x360 2-in-1 14-cd0800no 14" (vaalea hopea),HP14CD0800NO,599Outletista alkaen 489€
HP Pavilion x360 2-in-1 14-cd0803no 14" (hopea),HP14CD0803NO,749 
HP Pavilion x360 2-in-1 14-cd0806no 14" (hopea),HP14CD0806NO,949Outletista alkaen 893€
HP Pavilion 14-ce0804no 14" kannettava (hopea),HP14CE0804NO,699Outletista alkaen 499€
HP Pavilion 14-ce0807no 14" kannettava (hopea),HP14CE0807NO,849Outletista alkaen 732€
HP Pavilion 14-ce0850no 14" kannettava (vaalea kulta),HP14CE0850NO,699Outletista alkaen 604€
HP Pavilion 14-ce0851no 14" kannettava (valkoinen),HP14CE0851NO,699 
HP Pavilion 14-ce0852no 14" kannettava (vaalea kulta),HP14CE0852NO,849Outletista alkaen 732€
HP Pavilion 14-ce0853no 14" kannettava (valkoinen),HP14CE0853NO,849 
HP 14-ck0805no 14" kannettava (musta),HP14CK0805NO,549Outletista alkaen 477€
HP 14-ck0806no 14" kannettava (musta),HP14CK0806NO,447Outletista alkaen 323€
HP 14-ck0825no 14" kannettava (musta),HP14CK0825NO,549 
HP 14-cm0812no 14" kannettava (musta),HP14CM0812NO,447 
HP Spectre x360 2-in-1 15-bl181no (harmaa/kupari),HP15BL181NO,1 999Outletista alkaen 1 809€
HP 15-bs188no 15.6" kannettava (musta),HP15BS188NO,849Outletista alkaen 689€
HP Pavilion Power 15-cb084no 15.6" pelikannettava,HP15CB084NO,849 
HP Pavilion 15-cs0800no 15.6" kannettava (hopea),HP15CS0800NO,549Outletista alkaen 477€
HP Pavilion 15-cs0803no 15.6" kannettava (hopea),HP15CS0803NO,649Outletista alkaen 464€
HP Pavilion 15-cs0806no 15.6" kannettava (hopea),HP15CS0806NO,799Outletista alkaen 689€
HP Pavilion 15-cs0809no 15.6" kannettava (hopea),HP15CS0809NO,949 
HP Pavilion 15-cs0812no 15.6" kannettava (vaalea kulta),HP15CS0812NO,549Outletista alkaen 477€
HP Pavilion 15-cs0813no 15.6" kannettava (vaalea kulta),HP15CS0813NO,649Outletista alkaen 529€
HP Pavilion 15-cs0815no 15.6" kannettava (vaalea kulta),HP15CS0815NO,949 
HP Pavilion 15-cw0804no 15.6" kannettava (hopea),HP15CW0804NO,699Outletista alkaen 499€
HP Pavilion 15-cw0808no 15.6" kannettava (vaalea kulta),HP15CW0808NO,699 
HP Pavilion Gaming 15-cx0001no 15.6" pelikannettava,HP15CX0001NO,899Outletista alkaen 639€
HP Pavilion Gaming 15-cx0812no 15.6" pelikannettava,HP15CX0812NO,1 049Outletista alkaen 954€
HP Pavilion Gaming 15-cx0815no 15.6" pelikannettava,HP15CX0815NO,1 609 
HP Omen 15-dc0803no 15.6" pelikannettava (musta),HP15DC0803NO,1 129 
HP Omen 15-dc0804no 15.6" pelikannettava (musta),HP15DC0804NO,1 749 
HP Omen 15-dc0805no 15.6" pelikannettava (musta),HP15DC0805NO,1 899Outletista alkaen 1 776€
HP Omen 17-an080no 17.3" pelikannettava (musta),HP17AN080NO,1 249 
HP Omen 17-an181no 17.3" pelikannettava (musta),HP17AN181NO,1 399Outletista alkaen 1 311€
HP Envy 17-bw0000no 17.3" kannettava (hopea),HP17BW0000NO,1 099 
HP 17-by0802no 17.3" kannettava (musta),HP17BY0802NO,649 
HP 17-by0803no 17.3" kannettava (musta),HP17BY0803NO,799 
Huawei MateBook X Pro 13.9" kannettava (hopea),HU53010CER,1 499 
Huawei MateBook D 13.9" kannettava (hopea),HU53010CND,899 
Huawei MateBook D 13.9" kannettava (hopea),HU53010CNF,999 
Huawei MateBook D 13.9" kannettava (hopea),HU53010CNK,1 149 
Huawei MateBook X Pro 13.9" kannettava (hopea),HU53010CNN,1 649Outletista alkaen 1 544€
Huawei MateBook X Pro 13.9" kannettava (hopea),HU53010DAE,1 399Outletista alkaen 1 311€
Huawei MateBook X 13" kannettava 256 GB (harmaa),HUMATEXI5G,1 299Outletista alkaen 1 218€
Huawei MateBook X 13" kannettava 256 GB (ruusukulta),HUMATEXI5P,1 299Outletista alkaen 1 218€
Huawei MateBook X 13" 512 GB (harmaa),HUMATEXI7G,1 449 
Lenovo Chromebook N22-20 11.6" kannettava (musta),LE80SF0018NC,259Outletista alkaen 191€
Lenovo Yoga 710 2-in-1 14" (musta),LE80V4003MMX,899Outletista alkaen 774€
Lenovo Yoga 910 13.9" 2-in-1 (harmaa),LE80VF005RMX,1 899 
Lenovo Yoga 520 2-in-1 14" (musta),LE80X800H3MX,547Outletista alkaen 448€
Lenovo Yoga 520 2-in-1 14" (musta),LE80X800U0MX,597Outletista alkaen 517€
Lenovo Ideapad 720S 14" kannettava (platinahopea),LE80XC0039MX,1 147 
Lenovo Ideapad 320 14" kannettava (platinanharmaa),LE80XK0107MX,499Outletista alkaen 359€
Lenovo Ideapad 320 15.6" kannettava (onyksinmusta),LE80XL044RMX,499Outletista alkaen 409€
Lenovo Ideapad 320 14" kannettava (platinanharmaa),LE80XU001VMX,399Outletista alkaen 289€
Lenovo Yoga 920 13.9" 2-in-1 (platina),LE80Y700C9MX,2 049 
Lenovo Legion Y520 15.6" pelikannettava (musta),LE80YY0011MX,999Outletista alkaen 939€
Lenovo Legion Y520 15.6" pelikannettava (musta),LE80YY009SMX,1 349Outletista alkaen 1 224€
Lenovo Ideapad 120s 14" kannettava (harmaa),LE81A5007SMX,399Outletista alkaen 289€
Lenovo Yoga 330 11.6" 2-in-1 (onyksinmusta),LE81A6003LMX,349 
Lenovo Ideapad 720S 14" kannettava (kulta),LE81BD002PMX,1 045Outletista alkaen 982€
Lenovo Yoga 720 2-in-1 13.3" (teräksenharmaa),LE81C3005UMX,1 097 
Lenovo Yoga 720 2-in-1 13.3" (hopea),LE81C3007KMX,1 099Outletista alkaen 1 032€
Lenovo Yoga 720 2-in-1 13.3" (kupari),LE81C3007MMX,997Outletista alkaen 937€
Lenovo Yoga 720 2-in-1 13.3" (hopea),LE81C3007PMX,1 347Outletista alkaen 1 263€
Lenovo Yoga 730 13.3" 2-in-1 (raudanharmaa),LE81CT000FMX,899 
Lenovo Yoga 730 13.3" 2-in-1 (raudanharmaa),LE81CT000HMX,1 099Outletista alkaen 999€
Lenovo Yoga 730 13.3" 2-in-1 (raudanharmaa),LE81CT000JMX,1 199Outletista alkaen 1 089€
Lenovo Yoga 730 13.3" 2-in-1 (kupari),LE81CT004UMX,1 099 
Lenovo Yoga 730 13.3" 2-in-1 (raudanharmaa),LE81CT005EMX,1 499Outletista alkaen 1 404€
